word,type,note,url,sefaria_ref
compendiarium,Latin,Latin compendiarium,https://chavrutai.com/yerushalmi/Berakhot/1#1-13,Jerusalem_Talmud_Berakhot.1.1.13
strata,Latin,Latin strata,https://chavrutai.com/yerushalmi/Berakhot/1#1-13,Jerusalem_Talmud_Berakhot.1.1.13
δήλωμα,Greek,"This is the explanation of Frankel in his “Introduction to the Yerushalmi”, from Greek δήλωμα. Levy in his dictionary refers to Greek δίλημμα, which means only “proposition of two difficult alternatives.” Brüll in his critique of Levy’s dictionary proposes Greek δράμα “action”. Frankel’s choice is difficult since both long vowels should be expressed, דילומא. (In Midrashim, the spelling דילמא is found.) Brüll’s explanation is more difficult to accept since substitutions of the liquids l,r",https://chavrutai.com/yerushalmi/Berakhot/1#1-21,Jerusalem_Talmud_Berakhot.1.1.21
δίλημμα,Greek,"This is the explanation of Frankel in his “Introduction to the Yerushalmi”, from Greek δήλωμα. Levy in his dictionary refers to Greek δίλημμα, which means only “proposition of two difficult alternatives.” Brüll in his critique of Levy’s dictionary proposes Greek δράμα “action”. Frankel’s choice is difficult since both long vowels should be expressed, דילומא. (In Midrashim, the spelling דילמא is found.) Brüll’s explanation is more difficult to accept since substitutions of the liquids l,r",https://chavrutai.com/yerushalmi/Berakhot/1#1-21,Jerusalem_Talmud_Berakhot.1.1.21
δράμα,Greek,"This is the explanation of Frankel in his “Introduction to the Yerushalmi”, from Greek δήλωμα. Levy in his dictionary refers to Greek δίλημμα, which means only “proposition of two difficult alternatives.” Brüll in his critique of Levy’s dictionary proposes Greek δράμα “action”. Frankel’s choice is difficult since both long vowels should be expressed, דילומא. (In Midrashim, the spelling דילמא is found.) Brüll’s explanation is more difficult to accept since substitutions of the liquids l,r",https://chavrutai.com/yerushalmi/Berakhot/1#1-21,Jerusalem_Talmud_Berakhot.1.1.21
stadion,Greek,Egypt is defined as the country between the Mediterranean and Aswan (Syene). The distance was determined by the Alexandrian astronomer Eratosthenes to be approximately 5000 stadia. The length of the Greek stadion is no better defined than the Jewish mil,https://chavrutai.com/yerushalmi/Berakhot/1#1-23,Jerusalem_Talmud_Berakhot.1.1.23
olentia,Latin,Latin olentia,https://chavrutai.com/yerushalmi/Berakhot/1#1-33,Jerusalem_Talmud_Berakhot.1.1.33
delatorius,Latin,Latin delatorius,https://chavrutai.com/yerushalmi/Berakhot/1#2-9,Jerusalem_Talmud_Berakhot.1.2.9
Vivianus,Latin,"Since in Talmudic times every ב or בּ was pronounced /v/ in Galilee under the influence of Byzantine Greek, his name probably is a shortening of Latin Vivianus, חַיִּים. R. Bibi was one of the notable students of R. Yoḥanan.",https://chavrutai.com/yerushalmi/Berakhot/1#4-4,Jerusalem_Talmud_Berakhot.1.4.4
τύπος,Greek,"Greek τύπος, “pattern, model, prescribed form”. Rebbi Mana was a student of Rebbi Yudan who uses the Hebrew מטבע “coin” for “form”. The students of Rebbi Mana were the collectors of the Yerushalmi in the form it came down to us. Hence, his answer is final: All long benedictions end with “Praise to You, o Eternal, …” as a matter of principle (going back to the Men of the Great Assembly). Between this sentence and the next, a “since” should be mentally interpolated.",https://chavrutai.com/yerushalmi/Berakhot/1#5-22,Jerusalem_Talmud_Berakhot.1.5.22
ἐπικάρσιον,Greek,"ἐπικάρσιον, τό, “striped garment”. This must have been a large undershirt reaching at least to the upper parts of his legs.",https://chavrutai.com/yerushalmi/Berakhot/2#3-6,Jerusalem_Talmud_Berakhot.2.3.6
τό,Greek,"ἐπικάρσιον, τό, “striped garment”. This must have been a large undershirt reaching at least to the upper parts of his legs.",https://chavrutai.com/yerushalmi/Berakhot/2#3-6,Jerusalem_Talmud_Berakhot.2.3.6
olearii,Latin,Latin olearii,https://chavrutai.com/yerushalmi/Berakhot/2#3-6,Jerusalem_Talmud_Berakhot.2.3.6
θερμασία,Greek,"Cf. Greek θερμασία, ἡ, “warmth, heat.”. Rebbi Yoḥanan would trust his tefillin",https://chavrutai.com/yerushalmi/Berakhot/2#3-6,Jerusalem_Talmud_Berakhot.2.3.6
ἡ,Greek,"Cf. Greek θερμασία, ἡ, “warmth, heat.”. Rebbi Yoḥanan would trust his tefillin",https://chavrutai.com/yerushalmi/Berakhot/2#3-6,Jerusalem_Talmud_Berakhot.2.3.6
pileus,Latin,"Perhaps compare פיליוס to Latin pileus, pilleus",https://chavrutai.com/yerushalmi/Berakhot/2#3-11,Jerusalem_Talmud_Berakhot.2.3.11
Εὐδαίμων,Greek,"An Amora of the second generation. His name Εὐδαίμων “fortunate” shows that the pronounciation of Greek in his time was as today, that υ = f = ב.",https://chavrutai.com/yerushalmi/Berakhot/2#4-6,Jerusalem_Talmud_Berakhot.2.4.6
canna,Latin,"קנקן usually means a pitcher or a bottle, from late Latin canna",https://chavrutai.com/yerushalmi/Berakhot/2#4-12,Jerusalem_Talmud_Berakhot.2.4.12
genialia,Latin,Probably Latin genialia,https://chavrutai.com/yerushalmi/Berakhot/2#4-15,Jerusalem_Talmud_Berakhot.2.4.15
form,Greek,"This Greek form was found in a Palmyrenian inscription. Following Fleischer, the title is a composition of Persian ارك ark",https://chavrutai.com/yerushalmi/Berakhot/2#4-16,Jerusalem_Talmud_Berakhot.2.4.16
δόμος,Greek,"Greek δόμος, “building; rows of stones or bricks in a building.” At other places in the Yerushalmi, the spelling דומדס is found; in the Babli it always is דימוס (which, however, might mean another word, δῆμος).",https://chavrutai.com/yerushalmi/Berakhot/2#4-16,Jerusalem_Talmud_Berakhot.2.4.16
δῆμος,Greek,"Greek δόμος, “building; rows of stones or bricks in a building.” At other places in the Yerushalmi, the spelling דומדס is found; in the Babli it always is דימוס (which, however, might mean another word, δῆμος).",https://chavrutai.com/yerushalmi/Berakhot/2#4-16,Jerusalem_Talmud_Berakhot.2.4.16
δόμος,Greek,"Greek δόμος, “building; rows of stones or bricks in a building.” At other places in the Yerushalmi, the spelling דומדס is found; in the Babli it always is דימוס (which, however, might mean another word, δῆμος).",https://chavrutai.com/yerushalmi/Berakhot/2#5-1,Jerusalem_Talmud_Berakhot.2.5.1
δῆμος,Greek,"Greek δόμος, “building; rows of stones or bricks in a building.” At other places in the Yerushalmi, the spelling דומדס is found; in the Babli it always is דימוס (which, however, might mean another word, δῆμος).",https://chavrutai.com/yerushalmi/Berakhot/2#5-1,Jerusalem_Talmud_Berakhot.2.5.1
ἀσθενής,Greek,"Greek ἀσθενής. Medical considerations, even if no life-threatening situation is involved, always have precedence over the rules of mourning.",https://chavrutai.com/yerushalmi/Berakhot/2#7-1,Jerusalem_Talmud_Berakhot.2.7.1
Μνᾶ͂,Greek,"The price of meat can be taken to determine the time of R. Zeïra’s arrival in Israel. A Mina (Μνᾶ͂) was 100 Denar. In old times, a Mina was an enormous sum. But the inflation in the later part of the military anarchy, from the failed currency reform of Aurelianus to the reorganization of the Roman state under Diocletianus, was extreme. All Midrashim telling about exorbitant sums being paid for simple objects of daily use must be dated to that period, from 274–284 C.E. Diocletian introduced new gold coinage based on a price of 50’000 old gold Denars for a Roman pound of gold. This makes one pound of gold (345 g) the equivalent of 1’250’000 old silver denars. At that time, 50 Minas, or 5’000 silver Denars, would therefore be 1.38 g = 0.04 oz of gold or at today’s gold prices, $14.45. This is a very high price but not out of line in a time of extreme decline of farming and ranching. It is quite clear from this and other stories that the obligation to eat meat on holidays was a serious monetary obligation. (The so-called silver coins of that period were copper coins dipped for a second in a silver solution.)קורסם is Greek κρουσμός, ὁ, “striking, smiting, collision”.",https://chavrutai.com/yerushalmi/Berakhot/2#8-10,Jerusalem_Talmud_Berakhot.2.8.10
κρουσμός,Greek,"The price of meat can be taken to determine the time of R. Zeïra’s arrival in Israel. A Mina (Μνᾶ͂) was 100 Denar. In old times, a Mina was an enormous sum. But the inflation in the later part of the military anarchy, from the failed currency reform of Aurelianus to the reorganization of the Roman state under Diocletianus, was extreme. All Midrashim telling about exorbitant sums being paid for simple objects of daily use must be dated to that period, from 274–284 C.E. Diocletian introduced new gold coinage based on a price of 50’000 old gold Denars for a Roman pound of gold. This makes one pound of gold (345 g) the equivalent of 1’250’000 old silver denars. At that time, 50 Minas, or 5’000 silver Denars, would therefore be 1.38 g = 0.04 oz of gold or at today’s gold prices, $14.45. This is a very high price but not out of line in a time of extreme decline of farming and ranching. It is quite clear from this and other stories that the obligation to eat meat on holidays was a serious monetary obligation. (The so-called silver coins of that period were copper coins dipped for a second in a silver solution.)קורסם is Greek κρουσμός, ὁ, “striking, smiting, collision”.",https://chavrutai.com/yerushalmi/Berakhot/2#8-10,Jerusalem_Talmud_Berakhot.2.8.10
ὁ,Greek,"The price of meat can be taken to determine the time of R. Zeïra’s arrival in Israel. A Mina (Μνᾶ͂) was 100 Denar. In old times, a Mina was an enormous sum. But the inflation in the later part of the military anarchy, from the failed currency reform of Aurelianus to the reorganization of the Roman state under Diocletianus, was extreme. All Midrashim telling about exorbitant sums being paid for simple objects of daily use must be dated to that period, from 274–284 C.E. Diocletian introduced new gold coinage based on a price of 50’000 old gold Denars for a Roman pound of gold. This makes one pound of gold (345 g) the equivalent of 1’250’000 old silver denars. At that time, 50 Minas, or 5’000 silver Denars, would therefore be 1.38 g = 0.04 oz of gold or at today’s gold prices, $14.45. This is a very high price but not out of line in a time of extreme decline of farming and ranching. It is quite clear from this and other stories that the obligation to eat meat on holidays was a serious monetary obligation. (The so-called silver coins of that period were copper coins dipped for a second in a silver solution.)קורסם is Greek κρουσμός, ὁ, “striking, smiting, collision”.",https://chavrutai.com/yerushalmi/Berakhot/2#8-10,Jerusalem_Talmud_Berakhot.2.8.10
Ἄρχων,Greek,"Ἄρχων, “ruler”; in Imperial Rome a local administrator, praefectus",https://chavrutai.com/yerushalmi/Berakhot/2#8-11,Jerusalem_Talmud_Berakhot.2.8.11
λῃστής,Greek,Greek λῃστής (also a collateral form ληιστής). The word appears in the Babylonian tradition as לִסְטִים.,https://chavrutai.com/yerushalmi/Berakhot/2#8-11,Jerusalem_Talmud_Berakhot.2.8.11
ληιστής,Greek,Greek λῃστής (also a collateral form ληιστής). The word appears in the Babylonian tradition as לִסְטִים.,https://chavrutai.com/yerushalmi/Berakhot/2#8-11,Jerusalem_Talmud_Berakhot.2.8.11
ἰδιώτης,Greek,"Greek ἰδιώτης “private person, individual” (as opposed to the State).",https://chavrutai.com/yerushalmi/Berakhot/2#9-4,Jerusalem_Talmud_Berakhot.2.9.4
Τὰ,Greek,"Τὰ ἀνάκλιτα, “things to lean on”; according to both Rashi and Arukh the two posts over which the mosquito screen was hung.",https://chavrutai.com/yerushalmi/Berakhot/3#1-7,Jerusalem_Talmud_Berakhot.3.1.7
ἀνάκλιτα,Greek,"Τὰ ἀνάκλιτα, “things to lean on”; according to both Rashi and Arukh the two posts over which the mosquito screen was hung.",https://chavrutai.com/yerushalmi/Berakhot/3#1-7,Jerusalem_Talmud_Berakhot.3.1.7
εἰκών,Greek,"Greek εἰκών “image”, also “phantom”.",https://chavrutai.com/yerushalmi/Berakhot/3#1-9,Jerusalem_Talmud_Berakhot.3.1.9
platea,Latin,Latin platea,https://chavrutai.com/yerushalmi/Berakhot/3#1-17,Jerusalem_Talmud_Berakhot.3.1.17
μερίς,Greek,"This is the reading of the Rome ms., from Syriac מרדא, “fortified”. Graetz’s translation “revolutionary” is phantasy. The word could be from Greek μερίς, -ίδος, ἡ “part, region, district”. In that case, the translation would be “regional synagogue” (E. G.). The reading of the Leyden ms. and the Venice print, מדדתא, “measuring” or “tripping”, does not make any sense.",https://chavrutai.com/yerushalmi/Berakhot/3#1-20,Jerusalem_Talmud_Berakhot.3.1.20
ίδος,Greek,"This is the reading of the Rome ms., from Syriac מרדא, “fortified”. Graetz’s translation “revolutionary” is phantasy. The word could be from Greek μερίς, -ίδος, ἡ “part, region, district”. In that case, the translation would be “regional synagogue” (E. G.). The reading of the Leyden ms. and the Venice print, מדדתא, “measuring” or “tripping”, does not make any sense.",https://chavrutai.com/yerushalmi/Berakhot/3#1-20,Jerusalem_Talmud_Berakhot.3.1.20
ἡ,Greek,"This is the reading of the Rome ms., from Syriac מרדא, “fortified”. Graetz’s translation “revolutionary” is phantasy. The word could be from Greek μερίς, -ίδος, ἡ “part, region, district”. In that case, the translation would be “regional synagogue” (E. G.). The reading of the Leyden ms. and the Venice print, מדדתא, “measuring” or “tripping”, does not make any sense.",https://chavrutai.com/yerushalmi/Berakhot/3#1-20,Jerusalem_Talmud_Berakhot.3.1.20
δημόσιος,Greek,"Greek δημόσιος, α, ον, adj. “public”, here understood with βαλανεῖα “baths”. The public baths certainly were not open before dawn and Rebbi Ḥanina orders the people there not to waste their time but to study Torah (being from the first Amora generation, he said “to study Mishnah”) since the interpretation given later to qeri",https://chavrutai.com/yerushalmi/Berakhot/3#4-7,Jerusalem_Talmud_Berakhot.3.4.7
ον,Greek,"Greek δημόσιος, α, ον, adj. “public”, here understood with βαλανεῖα “baths”. The public baths certainly were not open before dawn and Rebbi Ḥanina orders the people there not to waste their time but to study Torah (being from the first Amora generation, he said “to study Mishnah”) since the interpretation given later to qeri",https://chavrutai.com/yerushalmi/Berakhot/3#4-7,Jerusalem_Talmud_Berakhot.3.4.7
βαλανεῖα,Greek,"Greek δημόσιος, α, ον, adj. “public”, here understood with βαλανεῖα “baths”. The public baths certainly were not open before dawn and Rebbi Ḥanina orders the people there not to waste their time but to study Torah (being from the first Amora generation, he said “to study Mishnah”) since the interpretation given later to qeri",https://chavrutai.com/yerushalmi/Berakhot/3#4-7,Jerusalem_Talmud_Berakhot.3.4.7
semita,Latin,Latin semita,https://chavrutai.com/yerushalmi/Berakhot/3#4-14,Jerusalem_Talmud_Berakhot.3.4.14
λιμήν,Greek,Greek λιμήν.,https://chavrutai.com/yerushalmi/Berakhot/3#4-15,Jerusalem_Talmud_Berakhot.3.4.15
πανδοκεῖον,Greek,Greek πανδοκεῖον (also πανδοκίον) “inn”. It is difficult to see what is so bad about a hostelry. Maybe they were sitting close to the outhouse.,https://chavrutai.com/yerushalmi/Berakhot/3#5-9,Jerusalem_Talmud_Berakhot.3.5.9
πανδοκίον,Greek,Greek πανδοκεῖον (also πανδοκίον) “inn”. It is difficult to see what is so bad about a hostelry. Maybe they were sitting close to the outhouse.,https://chavrutai.com/yerushalmi/Berakhot/3#5-9,Jerusalem_Talmud_Berakhot.3.5.9
triclinium,Latin,Latin triclinium,https://chavrutai.com/yerushalmi/Berakhot/3#5-10,Jerusalem_Talmud_Berakhot.3.5.10
τήγανον,Greek,Greek τήγανον. Rashi (Babli Qiddushin,https://chavrutai.com/yerushalmi/Berakhot/3#5-11,Jerusalem_Talmud_Berakhot.3.5.11
subsellium,Latin,Latin subsellium,https://chavrutai.com/yerushalmi/Berakhot/3#5-14,Jerusalem_Talmud_Berakhot.3.5.14
δισάκκιον,Greek,"Greek δισάκκιον, “saddle bag”, a sack made to be carried by a donkey (or horse) hanging down on both sides of the animal. The rule is inserted here in the sequence of rules dealing with the respect due to holy things. The respect shown here is that the sack may not be put on the animal but must be carried on the person even if the latter is riding.",https://chavrutai.com/yerushalmi/Berakhot/3#5-15,Jerusalem_Talmud_Berakhot.3.5.15
στήλη,Greek,"Greek στήλη. The stele in the synagogue was the pulpit on which the Torah scroll was laid for reading and was a place of particular holiness [Cf. Y. Brand, Iẓṭeli",https://chavrutai.com/yerushalmi/Berakhot/3#5-17,Jerusalem_Talmud_Berakhot.3.5.17
translation,Greek,"Here and in the next paragraph, one supposes, as in most Talmudic derivations, that the vocabulary of the Torah is uniquely fixed and that different expressions must have different meanings. [The only Bible translation that can be clearly dated to Tannaïtic times, the fragments of Aquilas’s Greek translation from the school of Rebbis Eliezer and Joshua, systematically has one-on-one correspondence between Hebrew and Greek words.]",https://chavrutai.com/yerushalmi/Berakhot/4#1-10,Jerusalem_Talmud_Berakhot.4.1.10
words,Greek,"Here and in the next paragraph, one supposes, as in most Talmudic derivations, that the vocabulary of the Torah is uniquely fixed and that different expressions must have different meanings. [The only Bible translation that can be clearly dated to Tannaïtic times, the fragments of Aquilas’s Greek translation from the school of Rebbis Eliezer and Joshua, systematically has one-on-one correspondence between Hebrew and Greek words.]",https://chavrutai.com/yerushalmi/Berakhot/4#1-10,Jerusalem_Talmud_Berakhot.4.1.10
παράκλητος,Greek,Greek παράκλητος (also meaning “intercessor”.).,https://chavrutai.com/yerushalmi/Berakhot/4#1-14,Jerusalem_Talmud_Berakhot.4.1.14
ἄριστον,Greek,"Greek ἄριστον (“breakfast”, later also “main meal”).",https://chavrutai.com/yerushalmi/Berakhot/4#1-16,Jerusalem_Talmud_Berakhot.4.1.16
situs,Latin,Latin situs,https://chavrutai.com/yerushalmi/Berakhot/4#1-20,Jerusalem_Talmud_Berakhot.4.1.20
σχολαστικός,Greek,"A title, σχολαστικός “scholar”, also found in ancient synagogue inscriptions. The prayer, with minor variations, is reported in the Babli (17a) in the name of Rebbi Alexandri.בר may mean “son of”; it also may mean “endowed with the quality of”.",https://chavrutai.com/yerushalmi/Berakhot/4#2-6,Jerusalem_Talmud_Berakhot.4.2.6
ξενία,Greek,Greek ξενία “hospitality; guest chamber”.,https://chavrutai.com/yerushalmi/Berakhot/4#4-6,Jerusalem_Talmud_Berakhot.4.4.6
Ἀνθύπατος,Greek,"Ἀνθύπατος “proconsul”, the Roman governor of an entire province. Both prefect and proconsul were also the local military commanders.",https://chavrutai.com/yerushalmi/Berakhot/5#1-18,Jerusalem_Talmud_Berakhot.5.1.18
saltus,Latin,The hapax אסלטין seems to be Latin saltus,https://chavrutai.com/yerushalmi/Berakhot/5#1-19,Jerusalem_Talmud_Berakhot.5.1.19
πλατεῖα,Greek,"Greek πλατεῖα (ὁδός) “wide open” (road). “Cart” is from Greek κάρρος, κάρρον. “Thoroughfare” is also found in Arabic as صرآط צִרַאט.",https://chavrutai.com/yerushalmi/Berakhot/5#1-21,Jerusalem_Talmud_Berakhot.5.1.21
ὁδός,Greek,"Greek πλατεῖα (ὁδός) “wide open” (road). “Cart” is from Greek κάρρος, κάρρον. “Thoroughfare” is also found in Arabic as صرآط צִרַאט.",https://chavrutai.com/yerushalmi/Berakhot/5#1-21,Jerusalem_Talmud_Berakhot.5.1.21
κάρρος,Greek,"Greek πλατεῖα (ὁδός) “wide open” (road). “Cart” is from Greek κάρρος, κάρρον. “Thoroughfare” is also found in Arabic as صرآط צִרַאט.",https://chavrutai.com/yerushalmi/Berakhot/5#1-21,Jerusalem_Talmud_Berakhot.5.1.21
κάρρον,Greek,"Greek πλατεῖα (ὁδός) “wide open” (road). “Cart” is from Greek κάρρος, κάρρον. “Thoroughfare” is also found in Arabic as صرآط צִרַאט.",https://chavrutai.com/yerushalmi/Berakhot/5#1-21,Jerusalem_Talmud_Berakhot.5.1.21
νάρθηξ,Greek,"Greek νάρθηξ, a plant (Ferula communis",https://chavrutai.com/yerushalmi/Berakhot/5#2-3,Jerusalem_Talmud_Berakhot.5.2.3
διαθήκη,Greek,"Greek διαθήκη “will, permanent disposition.”",https://chavrutai.com/yerushalmi/Berakhot/5#2-4,Jerusalem_Talmud_Berakhot.5.2.4
ὅδε,Greek,“This man” in Talmudic speech means “me”. {The same usage is found in Greek (ὅδε) and Latin (hic,https://chavrutai.com/yerushalmi/Berakhot/5#3-2,Jerusalem_Talmud_Berakhot.5.3.2
θέρμος,Greek,"Greek θέρμος. Raw lupines are cattle feed, too bitter for human consumption. They become edible only after long cooking. This statement supports R. Ḥiyya bar Abba.",https://chavrutai.com/yerushalmi/Berakhot/6#1-8,Jerusalem_Talmud_Berakhot.6.1.8
ὄρυζα,Greek,Greek ὄρυζα.,https://chavrutai.com/yerushalmi/Berakhot/6#1-17,Jerusalem_Talmud_Berakhot.6.1.17
bulla,Latin,"If the individual kernels are still recognizable, in contrast to the ball (Latin bulla",https://chavrutai.com/yerushalmi/Berakhot/6#1-17,Jerusalem_Talmud_Berakhot.6.1.17
κόλλιξ,Greek,"Greek, singular κόλλιξ, “roll”.",https://chavrutai.com/yerushalmi/Berakhot/6#1-25,Jerusalem_Talmud_Berakhot.6.1.25
κυρηβία,Greek,"Levy declares it to be from Greek κυρηβία, τά (plur.) “bran, shells of grain kernels,” Krauss and Löw from cibarius",https://chavrutai.com/yerushalmi/Berakhot/6#1-25,Jerusalem_Talmud_Berakhot.6.1.25
τά,Greek,"Levy declares it to be from Greek κυρηβία, τά (plur.) “bran, shells of grain kernels,” Krauss and Löw from cibarius",https://chavrutai.com/yerushalmi/Berakhot/6#1-25,Jerusalem_Talmud_Berakhot.6.1.25
κυνάρα,Greek,"Greek κυνάρα, κινάρα.",https://chavrutai.com/yerushalmi/Berakhot/6#1-26,Jerusalem_Talmud_Berakhot.6.1.26
κινάρα,Greek,"Greek κυνάρα, κινάρα.",https://chavrutai.com/yerushalmi/Berakhot/6#1-26,Jerusalem_Talmud_Berakhot.6.1.26
κεφαλωτός,Greek,"Greek κεφαλωτός, “having a head”. The identification as leeks is from Rashi in Babli Yom Ṭov",https://chavrutai.com/yerushalmi/Berakhot/6#2-4,Jerusalem_Talmud_Berakhot.6.2.4
conditum,Latin,Latin conditum,https://chavrutai.com/yerushalmi/Berakhot/6#5-2,Jerusalem_Talmud_Berakhot.6.5.2
balnea,Latin,"Latin balnea, -orum",https://chavrutai.com/yerushalmi/Berakhot/6#5-2,Jerusalem_Talmud_Berakhot.6.5.2
subsellium,Latin,Latin subsellium,https://chavrutai.com/yerushalmi/Berakhot/6#6-3,Jerusalem_Talmud_Berakhot.6.6.3
καθέδρα,Greek,Greek καθέδρα.,https://chavrutai.com/yerushalmi/Berakhot/6#6-3,Jerusalem_Talmud_Berakhot.6.6.3
ἴασις,Greek,Greek ἴασις. The Arukh,https://chavrutai.com/yerushalmi/Berakhot/6#6-5,Jerusalem_Talmud_Berakhot.6.6.5
olens,Latin,"Latin olens, olentis",https://chavrutai.com/yerushalmi/Berakhot/6#6-6,Jerusalem_Talmud_Berakhot.6.6.6
Τρυφῶν,Greek,"Probably the Greek name Τρυφῶν. He was old enough to have served as a priest in the Temple before its destruction. The text of the Yerushalmi in the Halakhah, a manuscript of the Babli, and some quotes from Medieval authorities have “R. Yehudah” instead of “R. Tarphon”. Since the main thrust of the Mishnah is about concluding benedictions, it is not clear whether R. Tarphon/Yehudah speaks of a first benediction, contradicting R. Aqiba, or about the concluding benediction for food that needs neither “three benedictions” nor “one benediction imitating three.”",https://chavrutai.com/yerushalmi/Berakhot/6#8-1,Jerusalem_Talmud_Berakhot.6.8.1
name,Greek,"Probably the Greek name Τρυφῶν. He was old enough to have served as a priest in the Temple before its destruction. The text of the Yerushalmi in the Halakhah, a manuscript of the Babli, and some quotes from Medieval authorities have “R. Yehudah” instead of “R. Tarphon”. Since the main thrust of the Mishnah is about concluding benedictions, it is not clear whether R. Tarphon/Yehudah speaks of a first benediction, contradicting R. Aqiba, or about the concluding benediction for food that needs neither “three benedictions” nor “one benediction imitating three.”",https://chavrutai.com/yerushalmi/Berakhot/6#8-1,Jerusalem_Talmud_Berakhot.6.8.1
decalicator,Latin,Compare Latin decalicator,https://chavrutai.com/yerushalmi/Berakhot/6#8-3,Jerusalem_Talmud_Berakhot.6.8.3
collare,Latin,Latin collare,https://chavrutai.com/yerushalmi/Berakhot/7#3-9,Jerusalem_Talmud_Berakhot.7.3.9
mulus,Latin,Latin mulus,https://chavrutai.com/yerushalmi/Berakhot/8#5-6,Jerusalem_Talmud_Berakhot.8.5.6
φανός,Greek,"Greek φανός, “torch, light”.",https://chavrutai.com/yerushalmi/Berakhot/8#6-3,Jerusalem_Talmud_Berakhot.8.6.3
specularia,Latin,Latin specularia,https://chavrutai.com/yerushalmi/Berakhot/8#6-3,Jerusalem_Talmud_Berakhot.8.6.3
στρατηγός,Greek,Greek (sing.) στρατηγός.,https://chavrutai.com/yerushalmi/Berakhot/8#6-9,Jerusalem_Talmud_Berakhot.8.6.9
ἑρμολογέω,Greek,"According to both Talmudim, in the Eastern provinces of the Roman Empire, a Hermes (or Mercury) could be simply a heap of stones to which passers-by added in order to show their respect. [Note Greek ἑρμολογέω (τάφον) “build with loose stones (grave)” (E. G.)]. The benediction refers to the fact that God allows idols to exist; the Hermes is singled out since it was ubiquitous at intersections of roads.",https://chavrutai.com/yerushalmi/Berakhot/9#1-4,Jerusalem_Talmud_Berakhot.9.1.4
τάφον,Greek,"According to both Talmudim, in the Eastern provinces of the Roman Empire, a Hermes (or Mercury) could be simply a heap of stones to which passers-by added in order to show their respect. [Note Greek ἑρμολογέω (τάφον) “build with loose stones (grave)” (E. G.)]. The benediction refers to the fact that God allows idols to exist; the Hermes is singled out since it was ubiquitous at intersections of roads.",https://chavrutai.com/yerushalmi/Berakhot/9#1-4,Jerusalem_Talmud_Berakhot.9.1.4
τιμή,Greek,"Greek τιμή “value, price”.",https://chavrutai.com/yerushalmi/Berakhot/9#1-6,Jerusalem_Talmud_Berakhot.9.1.6
βασιλεύς,Greek,Greek βασιλεύς.,https://chavrutai.com/yerushalmi/Berakhot/9#1-10,Jerusalem_Talmud_Berakhot.9.1.10
ἀρχιτέκτων,Greek,Greek ἀρχιτέκτων. The first נ probably should be a ו. This paragraph is missing in Bereshit rabba,https://chavrutai.com/yerushalmi/Berakhot/9#1-11,Jerusalem_Talmud_Berakhot.9.1.11
patronus,Latin,Latin patronus,https://chavrutai.com/yerushalmi/Berakhot/9#1-14,Jerusalem_Talmud_Berakhot.9.1.14
ὄχλος,Greek,"Semitic plural of Greek ὄχλος, “multitude” (of people, troops).",https://chavrutai.com/yerushalmi/Berakhot/9#1-14,Jerusalem_Talmud_Berakhot.9.1.14
λῃστής,Greek,Note the exact transliteration of Greek λῃστής.,https://chavrutai.com/yerushalmi/Berakhot/9#1-20,Jerusalem_Talmud_Berakhot.9.1.20
ἐπαρχία,Greek,Greek ἐπαρχία.,https://chavrutai.com/yerushalmi/Berakhot/9#1-22,Jerusalem_Talmud_Berakhot.9.1.22
κοσμοκράτωρ,Greek,"Greek κοσμοκράτωρ. In the parallel, Avodah zarah",https://chavrutai.com/yerushalmi/Berakhot/9#1-22,Jerusalem_Talmud_Berakhot.9.1.22
ξένος,Greek,"At other places in the Yerushalmi, the spelling is אכסניי, Greek ξένος “stranger, guest”, with prothetic א.",https://chavrutai.com/yerushalmi/Berakhot/9#1-23,Jerusalem_Talmud_Berakhot.9.1.23
λευκός,Greek,Greek λευκός “white”.,https://chavrutai.com/yerushalmi/Berakhot/9#1-30,Jerusalem_Talmud_Berakhot.9.1.30
ἀπειλῶν,Greek,Greek ἀπειλῶν.,https://chavrutai.com/yerushalmi/Berakhot/9#2-4,Jerusalem_Talmud_Berakhot.9.2.4
κοσμικόν,Greek,Greek κοσμικόν.,https://chavrutai.com/yerushalmi/Berakhot/9#2-10,Jerusalem_Talmud_Berakhot.9.2.10
καματηρός,Greek,"Greek καματηρός “laborious, hardworking” (E. G.). This person is mentioned only here and in the following Aggadah",https://chavrutai.com/yerushalmi/Berakhot/9#2-11,Jerusalem_Talmud_Berakhot.9.2.11
πίναξ,Greek,"Greek πίναξ, “wooden platter”.",https://chavrutai.com/yerushalmi/Berakhot/9#2-12,Jerusalem_Talmud_Berakhot.9.2.12
comes,Latin,Latin comes,https://chavrutai.com/yerushalmi/Berakhot/9#2-12,Jerusalem_Talmud_Berakhot.9.2.12
σύγκλητος,Greek,"Greek singular σύγκλητος (βουλή) “summoned (council, senate)”, also συγκλητικός “of senatorial rank”, with Aramaic plural ending. Seder Olam",https://chavrutai.com/yerushalmi/Berakhot/9#2-12,Jerusalem_Talmud_Berakhot.9.2.12
βουλή,Greek,"Greek singular σύγκλητος (βουλή) “summoned (council, senate)”, also συγκλητικός “of senatorial rank”, with Aramaic plural ending. Seder Olam",https://chavrutai.com/yerushalmi/Berakhot/9#2-12,Jerusalem_Talmud_Berakhot.9.2.12
